"Показник","Територіальний розріз","Вид сільськогосподарської техніки","Вид господарства","Періодичність","2018","2019"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Хмельницька","Борони","Фермерські господарства","Річна","","85"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Хмельницька","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","200"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Хмельницька","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","","57"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Хмельницька","Cівалки","Підприємства","Річна","","168"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Хмельницька","Cівалки","Фермерські господарства","Річна","","96"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Хмельницька","Жатки валкові","Підприємства","Річна","","107"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Хмельницька","Жатки валкові","Фермерські господарства","Річна","","58"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Хмельницька","Трактори","Підприємства","Річна","","326"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Хмельницька","Трактори","Фермерські господарства","Річна","","144"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Черкаська","Комбайни зернозбиральні","Підприємства","Річна","","111"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Черкаська","Комбайни зернозбиральні","Фермерські господарства","Річна","","34"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Черкаська","Борони","Підприємства","Річна","","363"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Черкаська","Борони","Фермерські господарства","Річна","","55"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Черкаська","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","271"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Черкаська","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","","45"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Черкаська","Cівалки","Підприємства","Річна","","232"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Черкаська","Cівалки","Фермерські господарства","Річна","","85"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Черкаська","Жатки валкові","Підприємства","Річна","","86"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Черкаська","Жатки валкові","Фермерські господарства","Річна","","25"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Черкаська","Трактори","Підприємства","Річна","","404"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Черкаська","Трактори","Фермерські господарства","Річна","","128"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернівецька","Комбайни зернозбиральні","Підприємства","Річна","","19"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернівецька","Комбайни зернозбиральні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернівецька","Борони","Підприємства","Річна","","59"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернівецька","Борони","Фермерські господарства","Річна","","24"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернівецька","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","26"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернівецька","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернівецька","Cівалки","Підприємства","Річна","","20"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернівецька","Cівалки","Фермерські господарства","Річна","","15"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернівецька","Жатки валкові","Підприємства","Річна","","14"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернівецька","Жатки валкові","Фермерські господарства","Річна","","13"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернівецька","Трактори","Підприємства","Річна","","59"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернівецька","Трактори","Фермерські господарства","Річна","","34"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернігівська","Комбайни зернозбиральні","Підприємства","Річна","","96"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернігівська","Комбайни зернозбиральні","Фермерські господарства","Річна","","27"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернігівська","Борони","Підприємства","Річна","","147"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернігівська","Борони","Фермерські господарства","Річна","","47"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернігівська","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","293"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернігівська","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","","43"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернігівська","Cівалки","Підприємства","Річна","","151"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернігівська","Cівалки","Фермерські господарства","Річна","","52"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернігівська","Жатки валкові","Підприємства","Річна","","78"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернігівська","Жатки валкові","Фермерські господарства","Річна","","25"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернігівська","Трактори","Підприємства","Річна","","508"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Чернігівська","Трактори","Фермерські господарства","Річна","","135"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Київ","Комбайни зернозбиральні","Підприємства","Річна","","32"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Київ","Комбайни зернозбиральні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Київ","Борони","Підприємства","Річна","","95"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Київ","Борони","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Київ","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","178"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Київ","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Київ","Cівалки","Підприємства","Річна","","71"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Київ","Cівалки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Київ","Жатки валкові","Підприємства","Річна","","24"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Київ","Жатки валкові","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Київ","Трактори","Підприємства","Річна","","174"
"Кількість сільськогосподарської техніки, що надійшла протягом року","Київ","Трактори","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Севастополь","Комбайни зернозбиральні","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Севастополь","Комбайни зернозбиральні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Севастополь","Борони","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Севастополь","Борони","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Севастополь","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Севастополь","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Севастополь","Cівалки","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Севастополь","Cівалки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Севастополь","Жатки валкові","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Севастополь","Жатки валкові","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Севастополь","Трактори","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що надійшла протягом року","Севастополь","Трактори","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Підприємства","Річна","","125"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Комбайни і  машини бурякозбиральні (без машин для обрізання бурячиння)","Фермерські господарства","Річна","","25"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Комбайни льонозбиральні","Підприємства","Річна","","9"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Комбайни льонозбиральні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Комбайни кормозбиральні, включаючи причіпні","Підприємства","Річна","","262"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Комбайни кормозбиральні, включаючи причіпні","Фермерські господарства","Річна","","15"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Комбайни зернозбиральні","Підприємства","Річна","","1859"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Комбайни зернозбиральні","Фермерські господарства","Річна","","429"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Комбайни кукурудзозбиральні","Підприємства","Річна","","107"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Комбайни кукурудзозбиральні","Фермерські господарства","Річна","","9"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Комбайни картоплезбиральні, включаючи картоплекопачі","Підприємства","Річна","","55"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Комбайни картоплезбиральні, включаючи картоплекопачі","Фермерські господарства","Річна","","8"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Молочні сепаратори","Підприємства","Річна","","12"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Молочні сепаратори","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Культиватори","Підприємства","Річна","","3212"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Культиватори","Фермерські господарства","Річна","","620"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Роздавачі кормів","Підприємства","Річна","","421"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Роздавачі кормів","Фермерські господарства","Річна","","9"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Борони","Підприємства","Річна","","7314"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Борони","Фермерські господарства","Річна","","947"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Дискові борони","Підприємства","Річна","","1143"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Дискові борони","Фермерські господарства","Річна","","224"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Інкубатори","Підприємства","Річна","","43"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Інкубатори","Фермерські господарства","Річна","","0"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","3945"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","","496"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Машини і механізми для приготування кормів","Підприємства","Річна","","161"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Машини і механізми для приготування кормів","Фермерські господарства","Річна","","11"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Cівалки","Підприємства","Річна","","3324"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Cівалки","Фермерські господарства","Річна","","645"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Машини посівні та для садіння","Підприємства","Річна","","3504"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Машини посівні та для садіння","Фермерські господарства","Річна","","665"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Машини і комбайни  для збирання  плодів, ягід, винограду","Підприємства","Річна","","4"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Машини і комбайни  для збирання  плодів, ягід, винограду","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Машини і комбайни  для збирання овочів і баштанних культур","Підприємства","Річна","","12"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Машини і комбайни  для збирання овочів і баштанних культур","Фермерські господарства","Річна","","0"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Машини для захисту сільськогосподарських культур","Підприємства","Річна","","923"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Машини для захисту сільськогосподарських культур","Фермерські господарства","Річна","","188"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Машини і пристрої для поливу","Підприємства","Річна","","129"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Машини і пристрої для поливу","Фермерські господарства","Річна","","10"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Транспортери для прибирання гною","Підприємства","Річна","","934"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Транспортери для прибирання гною","Фермерські господарства","Річна","","49"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Доїльні  апарати","Підприємства","Річна","","232"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Доїльні  апарати","Фермерські господарства","Річна","","31"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Доїльні установки","Підприємства","Річна","","343"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Доїльні установки","Фермерські господарства","Річна","","19"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Очищувачі-охолоджувачі молока","Підприємства","Річна","","121"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Очищувачі-охолоджувачі молока","Фермерські господарства","Річна","","15"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Сінокосарки","Підприємства","Річна","","526"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Сінокосарки","Фермерські господарства","Річна","","55"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Плуги","Підприємства","Річна","","1946"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Плуги","Фермерські господарства","Річна","","351"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Техніка для післяурожайних робіт","Підприємства","Річна","","652"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Техніка для післяурожайних робіт","Фермерські господарства","Річна","","95"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Картоплесаджалки","Підприємства","Річна","","68"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Картоплесаджалки","Фермерські господарства","Річна","","10"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Прес-пакувальники, включаючи прес-підбирачі","Підприємства","Річна","","385"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Прес-пакувальники, включаючи прес-підбирачі","Фермерські господарства","Річна","","41"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Жатки валкові","Підприємства","Річна","","827"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Жатки валкові","Фермерські господарства","Річна","","155"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Розкидачі гною і добрив","Підприємства","Річна","","1051"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Розкидачі гною і добрив","Фермерські господарства","Річна","","139"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Трактори","Підприємства","Річна","","6612"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Трактори","Фермерські господарства","Річна","","1291"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Трактори колісні","Підприємства","Річна","","5773"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Трактори колісні","Фермерські господарства","Річна","","1145"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Причепи та напівпричепи","Підприємства","Річна","","2657"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Причепи та напівпричепи","Фермерські господарства","Річна","","363"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Мотоблоки","Підприємства","Річна","","29"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Мотоблоки","Фермерські господарства","Річна","","7"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Водяні насоси і насосні станції","Підприємства","Річна","","290"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Водяні насоси і насосні станції","Фермерські господарства","Річна","","10"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Дощувальні машини","Підприємства","Річна","","191"
"Кількість сільськогосподарської техніки, що вибула протягом року","Україна","Дощувальні машини","Фермерські господарства","Річна","","49"
"Кількість сільськогосподарської техніки, що вибула протягом року","Автономна Республіка Крим","Комбайни зернозбиральні","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Автономна Республіка Крим","Комбайни зернозбиральні","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Автономна Республіка Крим","Борони","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Автономна Республіка Крим","Борони","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Автономна Республіка Крим","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Автономна Республіка Крим","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Автономна Республіка Крим","Cівалки","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Автономна Республіка Крим","Cівалки","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Автономна Республіка Крим","Жатки валкові","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Автономна Республіка Крим","Жатки валкові","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Автономна Республіка Крим","Трактори","Підприємства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Автономна Республіка Крим","Трактори","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Вінницька","Комбайни зернозбиральні","Підприємства","Річна","","91"
"Кількість сільськогосподарської техніки, що вибула протягом року","Вінницька","Комбайни зернозбиральні","Фермерські господарства","Річна","","31"
"Кількість сільськогосподарської техніки, що вибула протягом року","Вінницька","Борони","Підприємства","Річна","","710"
"Кількість сільськогосподарської техніки, що вибула протягом року","Вінницька","Борони","Фермерські господарства","Річна","","192"
"Кількість сільськогосподарської техніки, що вибула протягом року","Вінницька","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","248"
"Кількість сільськогосподарської техніки, що вибула протягом року","Вінницька","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","","37"
"Кількість сільськогосподарської техніки, що вибула протягом року","Вінницька","Cівалки","Підприємства","Річна","","198"
"Кількість сільськогосподарської техніки, що вибула протягом року","Вінницька","Cівалки","Фермерські господарства","Річна","","31"
"Кількість сільськогосподарської техніки, що вибула протягом року","Вінницька","Жатки валкові","Підприємства","Річна","","56"
"Кількість сільськогосподарської техніки, що вибула протягом року","Вінницька","Жатки валкові","Фермерські господарства","Річна","","10"
"Кількість сільськогосподарської техніки, що вибула протягом року","Вінницька","Трактори","Підприємства","Річна","","441"
"Кількість сільськогосподарської техніки, що вибула протягом року","Вінницька","Трактори","Фермерські господарства","Річна","","63"
"Кількість сільськогосподарської техніки, що вибула протягом року","Волинська","Комбайни зернозбиральні","Підприємства","Річна","","26"
"Кількість сільськогосподарської техніки, що вибула протягом року","Волинська","Комбайни зернозбиральні","Фермерські господарства","Річна","","11"
"Кількість сільськогосподарської техніки, що вибула протягом року","Волинська","Борони","Підприємства","Річна","","92"
"Кількість сільськогосподарської техніки, що вибула протягом року","Волинська","Борони","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Волинська","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","","58"
"Кількість сільськогосподарської техніки, що вибула протягом року","Волинська","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","","4"
"Кількість сільськогосподарської техніки, що вибула протягом року","Волинська","Cівалки","Підприємства","Річна","","48"
"Кількість сільськогосподарської техніки, що вибула протягом року","Волинська","Cівалки","Фермерські господарства","Річна","","4"
"Кількість сільськогосподарської техніки, що вибула протягом року","Волинська","Жатки валкові","Підприємства","Річна","","7"
"Кількість сільськогосподарської техніки, що вибула протягом року","Волинська","Жатки валкові","Фермерські господарства","Річна","",""
"Кількість сільськогосподарської техніки, що вибула протягом року","Волинська","Трактори","Підприємства","Річна","","113"
"Кількість сільськогосподарської техніки, що вибула протягом року","Волинська","Трактори","Фермерські господарства","Річна","","27"
"Кількість сільськогосподарської техніки, що вибула протягом року","Дніпропетровська","Комбайни зернозбиральні","Підприємства","Річна","","98"
"Кількість сільськогосподарської техніки, що вибула протягом року","Дніпропетровська","Комбайни зернозбиральні","Фермерські господарства","Річна","","24"
"Кількість сільськогосподарської техніки, що вибула протягом року","Дніпропетровська","Борони","Підприємства","Річна","","738"
