"Показник","Територіальний розріз","Вид сільськогосподарської техніки","Вид господарства","Періодичність","2018","2019"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Роздавачі кормів","Фермерські господарства","Річна","31","39"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Борони","Підприємства","Річна","17652","17478"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Борони","Фермерські господарства","Річна","3432","3459"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Дискові борони","Підприємства","Річна","1989","2101"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Дискові борони","Фермерські господарства","Річна","738","816"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Інкубатори","Підприємства","Річна","147","304"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Вантажні та вантажно-пасажирські автомобілі","Підприємства","Річна","5280","5323"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Вантажні та вантажно-пасажирські автомобілі","Фермерські господарства","Річна","1016","1057"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Машини і механізми для приготування кормів","Підприємства","Річна","249","265"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Машини і механізми для приготування кормів","Фермерські господарства","Річна","69","72"
"Кількість сільськогосподарської техніки,  в наявності на кінець року","Вінницька","Cівалки","Підприємства","Річна","4192","4334"
