datetime,temperature,year,month,day,hour
2025-02-11 09:00:00,-7.2,2025,2,11,9
2025-02-11 12:00:00,-5.8,2025,2,11,12
2025-02-11 15:00:00,-4.4,2025,2,11,15
2025-02-11 18:00:00,-4.7,2025,2,11,18
2025-02-11 21:00:00,-6.1,2025,2,11,21
2025-02-12 00:00:00,-7.6,2025,2,12,0
2025-02-12 03:00:00,-8.1,2025,2,12,3
2025-02-12 06:00:00,-8.0,2025,2,12,6
2025-02-12 09:00:00,-4.7,2025,2,12,9
2025-02-12 12:00:00,-0.6,2025,2,12,12
2025-02-12 15:00:00,-0.7,2025,2,12,15
2025-02-12 18:00:00,-5.5,2025,2,12,18
2025-02-12 21:00:00,-6.1,2025,2,12,21
2025-02-13 00:00:00,-8.2,2025,2,13,0
2025-02-13 03:00:00,-10.0,2025,2,13,3
2025-02-13 06:00:00,-10.4,2025,2,13,6
2025-02-13 09:00:00,-3.3,2025,2,13,9
2025-02-13 12:00:00,4.6,2025,2,13,12
2025-02-13 15:00:00,2.6,2025,2,13,15
2025-02-13 18:00:00,0.3,2025,2,13,18
2025-02-13 21:00:00,0.0,2025,2,13,21
2025-02-14 00:00:00,0.0,2025,2,14,0
2025-02-14 03:00:00,-0.6,2025,2,14,3
2025-02-14 06:00:00,0.8,2025,2,14,6
2025-02-14 09:00:00,1.3,2025,2,14,9
2025-02-14 12:00:00,1.2,2025,2,14,12
2025-02-14 15:00:00,0.3,2025,2,14,15
2025-02-14 18:00:00,-1.2,2025,2,14,18
2025-02-14 21:00:00,-4.4,2025,2,14,21
2025-02-15 00:00:00,-5.6,2025,2,15,0
2025-02-15 03:00:00,-6.4,2025,2,15,3
2025-02-15 06:00:00,-9.5,2025,2,15,6
2025-02-15 09:00:00,-3.3,2025,2,15,9
2025-02-15 12:00:00,-2.4,2025,2,15,12
2025-02-15 15:00:00,-2.6,2025,2,15,15
2025-02-15 18:00:00,-3.7,2025,2,15,18
2025-02-15 21:00:00,-4.5,2025,2,15,21
2025-02-16 00:00:00,-6.3,2025,2,16,0
2025-02-16 03:00:00,-7.2,2025,2,16,3
2025-02-16 06:00:00,-10.8,2025,2,16,6
2025-02-16 09:00:00,-4.1,2025,2,16,9
2025-02-16 12:00:00,-3.0,2025,2,16,12
2025-02-16 15:00:00,-3.0,2025,2,16,15
2025-02-16 18:00:00,-5.6,2025,2,16,18
2025-02-16 21:00:00,-7.6,2025,2,16,21
2025-02-17 00:00:00,-9.8,2025,2,17,0
2025-02-17 03:00:00,-6.6,2025,2,17,3
2025-02-17 06:00:00,-11.8,2025,2,17,6
2025-02-17 09:00:00,-4.4,2025,2,17,9
2025-02-17 12:00:00,-2.6,2025,2,17,12
2025-02-17 15:00:00,-2.3,2025,2,17,15
2025-02-17 18:00:00,-8.0,2025,2,17,18
2025-02-17 21:00:00,-11.5,2025,2,17,21
2025-02-18 00:00:00,-12.6,2025,2,18,0
2025-02-18 03:00:00,-12.8,2025,2,18,3
2025-02-18 06:00:00,-13.9,2025,2,18,6
2025-02-18 09:00:00,-4.0,2025,2,18,9
2025-02-18 12:00:00,-1.9,2025,2,18,12
2025-02-18 15:00:00,-1.5,2025,2,18,15
2025-02-18 18:00:00,-6.7,2025,2,18,18
2025-02-18 21:00:00,-10.5,2025,2,18,21
2025-02-19 00:00:00,-11.0,2025,2,19,0
2025-02-19 03:00:00,-7.7,2025,2,19,3
2025-02-19 06:00:00,-6.6,2025,2,19,6
2025-02-19 09:00:00,-3.6,2025,2,19,9
2025-02-19 12:00:00,-1.0,2025,2,19,12
2025-02-19 15:00:00,-0.9,2025,2,19,15
2025-02-19 18:00:00,-2.4,2025,2,19,18
2025-02-19 21:00:00,-3.4,2025,2,19,21
2025-02-20 00:00:00,-4.6,2025,2,20,0
2025-02-20 03:00:00,-4.3,2025,2,20,3
2025-02-20 06:00:00,-6.5,2025,2,20,6
2025-02-20 09:00:00,-1.9,2025,2,20,9
2025-02-20 12:00:00,-1.7,2025,2,20,12
2025-02-20 15:00:00,-0.7,2025,2,20,15
2025-02-20 18:00:00,-3.5,2025,2,20,18
2025-02-20 21:00:00,-5.3,2025,2,20,21
2025-02-21 00:00:00,-5.8,2025,2,21,0
2025-02-21 03:00:00,-9.8,2025,2,21,3
2025-02-21 06:00:00,-8.5,2025,2,21,6
2025-02-21 09:00:00,-2.5,2025,2,21,9
2025-02-21 12:00:00,0.1,2025,2,21,12
2025-02-21 15:00:00,-0.2,2025,2,21,15
2025-02-21 18:00:00,-4.0,2025,2,21,18
2025-02-21 21:00:00,-5.6,2025,2,21,21
2025-02-22 00:00:00,-6.7,2025,2,22,0
2025-02-22 03:00:00,-7.9,2025,2,22,3
2025-02-22 06:00:00,-8.1,2025,2,22,6
2025-02-22 09:00:00,-2.3,2025,2,22,9
2025-02-22 12:00:00,1.7,2025,2,22,12
2025-02-22 15:00:00,0.7,2025,2,22,15
2025-02-22 18:00:00,-1.3,2025,2,22,18
2025-02-22 21:00:00,-2.8,2025,2,22,21
2025-02-23 00:00:00,-5.5,2025,2,23,0
2025-02-23 03:00:00,-7.4,2025,2,23,3
2025-02-23 06:00:00,-8.8,2025,2,23,6
2025-02-23 09:00:00,-0.7,2025,2,23,9
2025-02-23 12:00:00,5.4,2025,2,23,12
2025-02-23 15:00:00,5.4,2025,2,23,15
2025-02-23 18:00:00,-4.3,2025,2,23,18
2025-02-23 21:00:00,-6.5,2025,2,23,21
2025-02-24 00:00:00,-7.5,2025,2,24,0
2025-02-24 03:00:00,-9.1,2025,2,24,3
2025-02-24 06:00:00,-5.1,2025,2,24,6
2025-02-24 09:00:00,1.3,2025,2,24,9
2025-02-24 12:00:00,5.2,2025,2,24,12
2025-02-24 15:00:00,4.7,2025,2,24,15
2025-02-24 18:00:00,3.0,2025,2,24,18
2025-02-24 21:00:00,1.9,2025,2,24,21
2025-02-25 00:00:00,1.1,2025,2,25,0
